country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mongolia,2010,2719896,1.49 %,38694,-2200.0,25.7,2.4,2,67.4 %,1832856,0.04 %,6956823603,141
Mongolia,2005,2526424,1.05 %,25801,-3000.0,24.0,2.08,2,62.5 %,1578882,0.04 %,6541907027,139
Mongolia,2000,2397418,0.85 %,19880,-10493.0,22.0,2.4,2,57.1 %,1369725,0.04 %,6143493823,138
Mongolia,1995,2298020,1.02 %,22775,-17686.0,20.3,3.27,1,56.8 %,1305410,0.04 %,5744212979,138
Mongolia,1990,2184145,2.59 %,52453,0.0,19.3,4.84,1,57.0 %,1245674,0.04 %,5327231061,136
Mongolia,1985,1921881,2.61 %,46452,0.0,18.5,5.75,1,55.0 %,1057810,0.04 %,4870921740,139
Mongolia,1980,1689622,2.69 %,41994,0.0,17.8,6.65,1,52.1 %,880007,0.04 %,4458003514,139
Mongolia,1975,1479651,2.96 %,40165,0.0,17.5,7.5,1,48.7 %,719938,0.04 %,4079480606,139
Mongolia,1970,1278825,2.93 %,34340,0.0,18.3,7.5,1,45.1 %,576139,0.03 %,3700437046,140
Mongolia,1965,1107124,2.99 %,30324,0.0,20.4,7.5,1,42.1 %,466259,0.03 %,3339583597,140
Mongolia,1960,955505,2.25 %,20080,0.0,23.0,6.3,1,35.7 %,340919,0.03 %,3034949748,140
Mongolia,1955,855103,1.85 %,14981,0.0,24.3,5.6,1,26.6 %,227618,0.03 %,2773019936,140
Montenegro,2020,628066,0.01 %,79,-480.0,38.8,1.75,47,67.6 %,424767,0.01 %,7794798739,168
Montenegro,2019,627987,0.03 %,178,-480.0,37.9,1.72,47,67.3 %,422615,0.01 %,7713468100,168
Montenegro,2018,627809,0.04 %,246,-480.0,37.9,1.72,47,67.0 %,420403,0.01 %,7631091040,168
Montenegro,2017,627563,0.05 %,299,-480.0,37.9,1.72,47,66.6 %,418113,0.01 %,7547858925,167
Montenegro,2016,627264,0.05 %,308,-480.0,37.9,1.72,47,66.3 %,415772,0.01 %,7464022049,166
Montenegro,2015,626956,0.09 %,536,-622.0,37.7,1.71,47,65.9 %,413376,0.01 %,7379797139,166
Montenegro,2010,624275,0.25 %,1577,-137.0,36.4,1.82,46,64.1 %,400419,0.01 %,6956823603,166
Montenegro,2005,616391,0.09 %,566,-1600.0,35.0,1.85,46,62.5 %,385027,0.01 %,6541907027,165
Montenegro,2000,613559,-0.22 %,-1372,-4318.0,34.4,1.91,46,58.5 %,359202,0.01 %,6143493823,162
Montenegro,1995,620418,0.18 %,1083,-4050.0,32.2,2.05,46,53.4 %,331085,0.01 %,5744212979,161
Montenegro,1990,615002,0.03 %,197,-5993.0,29.8,2.11,46,48.0 %,295431,0.01 %,5327231061,159
Montenegro,1985,614016,1.12 %,6652,-400.0,28.3,2.21,46,42.3 %,259884,0.01 %,4870921740,159
Montenegro,1980,580754,0.94 %,5298,-1480.0,26.7,2.31,43,36.8 %,213791,0.01 %,4458003514,159
Montenegro,1975,554262,1.30 %,6913,-400.0,24.9,2.62,41,31.6 %,175266,0.01 %,4079480606,156
Montenegro,1970,519696,-0.53 %,-2824,-10755.0,24.1,2.89,39,26.9 %,139552,0.01 %,3700437046,156
Montenegro,1965,533814,1.84 %,9280,-400.0,23.5,3.42,40,22.6 %,120459,0.02 %,3339583597,153
Montenegro,1960,487413,1.89 %,8724,-400.0,22.9,3.8,36,18.8 %,91576,0.02 %,3034949748,153
Montenegro,1955,443795,2.37 %,9811,2000.0,22.2,4.35,33,15.5 %,68854,0.02 %,2773019936,153
Montserrat,2019,4989,-0.08 %,-4,,,,50,9.5 %,474,0.00 %,7713468100,231
Montserrat,2018,4993,0.18 %,9,,,,50,9.5 %,472,0.00 %,7631091040,231
Montserrat,2017,4984,0.06 %,3,,,,50,9.4 %,468,0.00 %,7547858925,231
Montserrat,2016,4981,0.28 %,14,,,,50,9.4 %,466,0 %,7464022049,231
Montserrat,2015,4967,0.28 %,14,,,,50,9.3 %,463,0 %,7379797139,231
Montserrat,2010,4899,0.26 %,13,,,,49,9.2 %,452,0 %,6956823603,231
Montserrat,2005,4835,-0.38 %,-19,,,,48,9.2 %,446,0 %,6541907027,231
Montserrat,2000,4929,-12.93 %,-984,,,,49,2.1 %,103,0 %,6143493823,231
Montserrat,1995,9848,-1.49 %,-153,,,,98,13 %,1279,0 %,5744212979,227
Montserrat,1990,10615,-0.33 %,-35,,,,106,12.6 %,1341,0 %,5327231061,225
Montserrat,1985,10792,-1.45 %,-163,,,,108,13.1 %,1416,0 %,4870921740,224
Montserrat,1980,11607,0.05 %,5,,,,116,12.8 %,1490,0 %,4458003514,220
Montserrat,1975,11580,0.08 %,9,,,,116,12.2 %,1409,0 %,4079480606,219
Montserrat,1970,11534,-0.33 %,-38,,,,115,11.5 %,1328,0 %,3700437046,218
Montserrat,1965,11726,-0.39 %,-46,,,,117,19.3 %,2259,0 %,3339583597,213
Montserrat,1960,11957,-3.42 %,-455,,,,120,16 %,1914,0 %,3034949748,216
Montserrat,1955,14233,1.03 %,143,,,,142,15.9 %,2259,0 %,2773019936,213
Morocco,2020,36910560,1.20 %,438791,-51419.0,29.5,2.42,83,63.8 %,23551599,0.47 %,7794798739,40
Morocco,2019,36471769,1.23 %,442676,-51419.0,28.2,2.56,82,63.3 %,23077900,0.47 %,7713468100,40
Morocco,2018,36029093,1.26 %,447838,-51419.0,28.2,2.56,81,62.7 %,22602743,0.47 %,7631091040,40
Morocco,2017,35581255,1.30 %,454972,-51419.0,28.2,2.56,80,62.2 %,22125702,0.47 %,7547858925,40
Morocco,2016,35126283,1.33 %,462680,-51419.0,28.2,2.56,79,61.6 %,21645998,0.47 %,7464022049,40
Morocco,2015,34663603,1.40 %,464043,-73422.0,27.9,2.6,78,61.1 %,21163594,0.47 %,7379797139,39
Morocco,2010,32343389,1.21 %,377566,-113028.0,26.4,2.53,72,58.1 %,18803302,0.46 %,6956823603,38
Morocco,2005,30455561,1.13 %,332376,-130964.0,24.5,2.67,68,55.3 %,16839654,0.47 %,6541907027,37
Morocco,2000,28793679,1.30 %,359886,-106516.0,22.7,2.97,65,53.4 %,15386939,0.47 %,6143493823,36
Morocco,1995,26994250,1.70 %,437358,-93325.0,21.1,3.7,60,51.8 %,13995788,0.47 %,5744212979,36
Morocco,1990,24807462,1.97 %,461670,-86037.0,19.8,4.43,56,48.5 %,12039279,0.47 %,5327231061,35
Morocco,1985,22499110,2.39 %,501820,-64132.0,18.7,5.4,50,44.9 %,10091997,0.46 %,4870921740,34
Morocco,1980,19990012,2.35 %,438770,-61968.0,17.8,5.9,45,41.3 %,8250172,0.45 %,4458003514,34
Morocco,1975,17796164,2.14 %,358287,-101789.0,16.8,6.4,40,37.7 %,6714483,0.44 %,4079480606,34
Morocco,1970,16004731,2.38 %,354914,-94947.0,16.2,6.85,36,34.5 %,5516314,0.43 %,3700437046,34
Morocco,1965,14230163,2.91 %,380326,-47960.0,16.3,7.1,32,31.9 %,4533672,0.43 %,3339583597,35
Morocco,1960,12328532,3.26 %,365173,-2600.0,18.1,6.9,28,29.4 %,3619334,0.41 %,3034949748,34
Morocco,1955,10502666,3.17 %,303335,0.0,19.2,6.61,24,27.7 %,2913419,0.38 %,2773019936,35
Mozambique,2020,31255435,2.93 %,889399,-5000.0,17.6,4.89,40,38.3 %,11978439,0.40 %,7794798739,46
Mozambique,2019,30366036,2.95 %,870032,-5000.0,17.2,5.16,39,37.8 %,11472938,0.39 %,7713468100,47
Mozambique,2018,29496004,2.96 %,846986,-5000.0,17.2,5.16,38,37.2 %,10986620,0.39 %,7631091040,47
Mozambique,2017,28649018,2.94 %,819080,-5000.0,17.2,5.16,36,36.7 %,10519046,0.38 %,7547858925,48
Mozambique,2016,27829938,2.91 %,787936,-5000.0,17.2,5.16,35,36.2 %,10069035,0.37 %,7464022049,48
Mozambique,2015,27042002,2.82 %,702086,-5000.0,17.1,5.23,34,35.6 %,9635602,0.37 %,7379797139,48
Mozambique,2010,23531574,2.80 %,607530,-8000.0,17.0,5.54,30,32.8 %,7709657,0.34 %,6956823603,49
Mozambique,2005,20493925,2.96 %,556400,6001.0,17.3,5.8,26,30.6 %,6276808,0.31 %,6541907027,51
Mozambique,2000,17711927,2.73 %,445728,-10000.0,17.6,5.85,23,29.7 %,5257395,0.29 %,6143493823,53
Mozambique,1995,15483286,3.58 %,499199,128474.0,17.7,6.1,20,28.0 %,4332986,0.27 %,5744212979,54
Mozambique,1990,12987292,0.35 %,44581,-267212.0,16.5,6.3,17,25.5 %,3311912,0.24 %,5327231061,55
Mozambique,1985,12764387,1.88 %,226839,-75276.0,17.8,6.4,16,18.6 %,2379536,0.26 %,4870921740,54
Mozambique,1980,11630194,2.73 %,292996,17475.0,18.3,6.55,15,13.4 %,1558995,0.26 %,4458003514,53
Mozambique,1975,10165215,2.41 %,228495,-4700.0,18.2,6.68,13,11.1 %,1124358,0.25 %,4079480606,55
Mozambique,1970,9022741,2.34 %,196705,-4700.0,18.4,6.71,11,9.1 %,823643,0.24 %,3700437046,57
Mozambique,1965,8039215,2.27 %,170869,-4700.0,18.7,6.56,10,8.0 %,644765,0.24 %,3339583597,63
Mozambique,1960,7184869,2.00 %,135294,-4700.0,19.0,6.34,9,7.1 %,507470,0.24 %,3034949748,62
Mozambique,1955,6508398,1.78 %,109886,-4700.0,19.2,6.34,8,6.3 %,411022,0.23 %,2773019936,63
Myanmar,2020,54409800,0.67 %,364380,-163313.0,29.0,2.17,83,31.4 %,17068066,0.70 %,7794798739,26
Myanmar,2019,54045420,0.63 %,337100,-163313.0,27.8,2.23,83,31.0 %,16763626,0.70 %,7713468100,26
Myanmar,2018,53708320,0.61 %,325797,-163313.0,27.8,2.23,82,30.7 %,16468361,0.70 %,7631091040,26
Myanmar,2017,53382523,0.64 %,337322,-163313.0,27.8,2.23,82,30.3 %,16183083,0.71 %,7547858925,26
Myanmar,2016,53045201,0.69 %,364475,-163313.0,27.8,2.23,81,30.0 %,15908841,0.71 %,7464022049,26
Myanmar,2015,52680726,0.81 %,415982,-105642.0,27.5,2.25,81,29.7 %,15646537,0.71 %,7379797139,25
Myanmar,2010,50600818,0.67 %,330179,-267386.0,26.1,2.5,77,28.6 %,14487449,0.73 %,6956823603,25
Myanmar,2005,48949924,0.94 %,446045,-241618.0,24.5,2.8,75,27.7 %,13548744,0.75 %,6541907027,24
Myanmar,2000,46719701,1.25 %,563621,-107600.0,23.3,2.95,72,26.7 %,12457527,0.76 %,6143493823,26
Myanmar,1995,43901598,1.21 %,513280,-142741.0,22.0,3.2,67,25.7 %,11295542,0.76 %,5744212979,25
Myanmar,1990,41335199,1.71 %,671623,-40000.0,20.7,3.78,63,24.8 %,10255233,0.78 %,5327231061,25
Myanmar,1985,37977086,2.10 %,750555,-10931.0,19.6,4.6,58,23.9 %,9075330,0.78 %,4870921740,26
Myanmar,1980,34224313,2.26 %,722644,0.0,19.1,5.15,52,23.4 %,7999556,0.77 %,4458003514,27
Myanmar,1975,30611095,2.34 %,668405,0.0,18.7,5.74,47,23.2 %,7110236,0.75 %,4079480606,27
Myanmar,1970,27269069,2.37 %,601942,0.0,18.6,6.1,42,22.1 %,6022901,0.74 %,3700437046,27
Myanmar,1965,24259359,2.22 %,504483,0.0,19.3,6.1,37,20.2 %,4905378,0.73 %,3339583597,26
Myanmar,1960,21736942,2.14 %,437374,0.0,20.5,6.0,33,18.6 %,4034840,0.72 %,3034949748,27
Myanmar,1955,19550071,1.92 %,354089,0.0,21.5,6.0,30,17.0 %,3323690,0.71 %,2773019936,26
Namibia,2020,2540905,1.86 %,46375,-4806.0,21.8,3.42,3,55.2 %,1403099,0.03 %,7794798739,143
Namibia,2019,2494530,1.89 %,46229,-4806.0,21.3,3.58,3,54.1 %,1348534,0.03 %,7713468100,143
Namibia,2018,2448301,1.90 %,45668,-4806.0,21.3,3.58,3,52.9 %,1294741,0.03 %,7631091040,143
Namibia,2017,2402633,1.89 %,44589,-4806.0,21.3,3.58,3,51.7 %,1241686,0.03 %,7547858925,143
Namibia,2016,2358044,1.86 %,43140,-4806.0,21.3,3.58,3,50.4 %,1189295,0.03 %,7464022049,143
Namibia,2015,2314904,1.79 %,39206,-7407.0,21.1,3.63,3,49.1 %,1137588,0.03 %,7379797139,143
Namibia,2010,2118874,1.80 %,36111,1743.0,20.5,3.61,3,42.7 %,904380,0.03 %,6956823603,142
Namibia,2005,1938320,1.55 %,28750,-188.0,19.5,3.6,2,38.4 %,744428,0.03 %,6541907027,146
Namibia,2000,1794571,1.97 %,33341,-4235.0,18.5,4.26,2,34.3 %,614845,0.03 %,6143493823,146
Namibia,1995,1627865,2.58 %,38992,-3456.0,18.0,4.89,2,30.3 %,493517,0.03 %,5744212979,145
Namibia,1990,1432905,3.64 %,46951,7621.0,17.5,5.55,2,27.3 %,391253,0.03 %,5327231061,147
Namibia,1985,1198148,2.52 %,28084,-5814.0,16.4,6.2,1,25.3 %,302761,0.02 %,4870921740,147
Namibia,1980,1057727,2.22 %,21961,-8860.0,16.7,6.46,1,24.0 %,253837,0.02 %,4458003514,147
Namibia,1975,947921,3.01 %,26090,-539.0,17.7,6.6,1,22.6 %,213999,0.02 %,4079480606,146
Namibia,1970,817469,2.67 %,20177,-216.0,18.4,6.3,1,21.3 %,173960,0.02 %,3700437046,146
Namibia,1965,716584,2.47 %,16488,0.0,18.9,6.2,1,19.1 %,136750,0.02 %,3339583597,147
Namibia,1960,634142,2.23 %,13259,0.0,19.5,6.1,1,17.0 %,107909,0.02 %,3034949748,146
Namibia,1955,567847,2.00 %,10693,0.0,20.3,6.0,1,14.7 %,83453,0.02 %,2773019936,147
Nauru,2019,10756,0.81 %,86,,,,538,N.A.,N.A.,0.00 %,7713468100,227
Nauru,2018,10670,0.92 %,97,,,,534,N.A.,N.A.,0.00 %,7631091040,227
Nauru,2017,10573,0.94 %,98,,,,529,N.A.,N.A.,0.00 %,7547858925,227
Nauru,2016,10475,0.89 %,92,,,,524,N.A.,N.A.,0 %,7464022049,227
Nauru,2015,10383,0.74 %,76,,,,519,N.A.,N.A.,0 %,7379797139,227
Nauru,2010,10005,0.31 %,31,,,,500,N.A.,N.A.,0 %,6956823603,227
Nauru,2005,9849,-0.96 %,-98,,,,492,N.A.,N.A.,0 %,6541907027,227
Nauru,2000,10337,-0.55 %,-58,,,,517,97.1 %,10037,0 %,6143493823,226
Nauru,1995,10628,2.26 %,225,,,,531,93.8 %,9969,0 %,5744212979,225
Nauru,1990,9505,2.26 %,201,,,,475,96.3 %,9155,0 %,5327231061,226
Nauru,1985,8501,1.89 %,152,,,,425,96.1 %,8173,0 %,4870921740,226
Nauru,1980,7741,1.53 %,113,,,,387,96.7 %,7488,0 %,4458003514,226
Nauru,1975,7175,1.83 %,125,,,,359,98.5 %,7068,0 %,4079480606,224
Nauru,1970,6552,2.27 %,139,,,,328,99.1 %,6496,0 %,3700437046,225
Nauru,1965,5856,6 %,296,,,,293,61.8 %,3619,0 %,3339583597,229
Nauru,1960,4375,2.76 %,111,,,,219,N.A.,N.A.,0 %,3034949748,229
Nauru,1955,3819,2.21 %,79,,,,191,94.8 %,3619,0 %,2773019936,229
Nepal,2020,29136808,1.85 %,528098,41710.0,24.6,1.93,203,21.4 %,6226233,0.37 %,7794798739,49
Nepal,2019,28608710,1.83 %,512996,41710.0,22.7,2.24,200,21.1 %,6034147,0.37 %,7713468100,49
Nepal,2018,28095714,1.68 %,463033,41710.0,22.7,2.24,196,20.8 %,5847671,0.37 %,7631091040,50
Nepal,2017,27632681,1.35 %,369248,41710.0,22.7,2.24,193,20.5 %,5666428,0.37 %,7547858925,50
Nepal,2016,27263433,0.92 %,248402,41710.0,22.7,2.24,190,20.1 %,5489899,0.37 %,7464022049,49
Nepal,2015,27015031,0.00 %,364,-408048.0,22.2,2.32,188,19.7 %,5317799,0.37 %,7379797139,49
Nepal,2010,27013212,0.97 %,253742,-194316.0,21.7,2.81,188,16.8 %,4531339,0.39 %,6956823603,46
Nepal,2005,25744500,1.46 %,360678,-154505.0,20.2,3.49,180,15.1 %,3884136,0.39 %,6541907027,43
Nepal,2000,23941110,2.10 %,473008,-92941.0,19.3,4.41,167,13.3 %,3180501,0.39 %,6143493823,41
Nepal,1995,21576071,2.68 %,534119,15213.0,19.0,4.97,151,10.8 %,2328505,0.38 %,5744212979,43
Nepal,1990,18905478,2.32 %,409434,-43281.0,18.7,5.33,132,8.8 %,1660139,0.35 %,5327231061,44
Nepal,1985,16858310,2.34 %,368382,-20229.0,19.0,5.62,118,7.3 %,1235180,0.35 %,4870921740,44
Nepal,1980,15016402,2.27 %,319207,-8200.0,19.3,5.8,105,6.0 %,907698,0.34 %,4458003514,44
Nepal,1975,13420369,2.14 %,269149,-1160.0,19.4,5.87,94,4.8 %,643695,0.33 %,4079480606,46
Nepal,1970,12074626,1.93 %,220343,-4215.0,19.2,5.96,84,3.9 %,474634,0.33 %,3700437046,45
Nepal,1965,10972912,1.66 %,173572,-14000.0,19.5,5.96,77,3.7 %,407893,0.33 %,3339583597,40
Nepal,1960,10105050,1.64 %,157627,-16046.0,19.9,5.96,70,3.5 %,350230,0.33 %,3034949748,41
Nepal,1955,9316916,1.89 %,166718,-8112.0,20.2,5.96,65,3.0 %,283756,0.34 %,2773019936,40
Netherlands,2020,17134872,0.22 %,37742,16000.0,43.3,1.66,508,92.5 %,15847281,0.22 %,7794798739,69
Netherlands,2019,17097130,0.22 %,37570,16000.0,42.3,1.72,507,92.1 %,15740995,0.22 %,7713468100,68
Netherlands,2018,17059560,0.22 %,38213,16000.0,42.3,1.72,506,91.6 %,15630587,0.22 %,7631091040,68
Netherlands,2017,17021347,0.24 %,40052,16000.0,42.3,1.72,505,91.2 %,15515819,0.23 %,7547858925,66
Netherlands,2016,16981295,0.25 %,42796,16000.0,42.3,1.72,504,90.7 %,15396498,0.23 %,7464022049,66
Netherlands,2015,16938499,0.30 %,51116,12537.0,42.1,1.73,502,90.2 %,15273879,0.23 %,7379797139,65
Netherlands,2010,16682917,0.38 %,63152,13143.0,40.8,1.75,495,87.1 %,14536474,0.24 %,6956823603,61
Netherlands,2005,16367158,0.55 %,88194,29204.0,39.0,1.74,485,82.6 %,13524212,0.25 %,6541907027,60
Netherlands,2000,15926188,0.59 %,91667,35711.0,37.5,1.6,472,76.8 %,12230482,0.26 %,6143493823,58
Netherlands,1995,15467851,0.66 %,100481,37282.0,36.0,1.59,459,72.8 %,11261960,0.27 %,5744212979,55
Netherlands,1990,14965448,0.61 %,90300,27950.0,34.6,1.55,444,68.7 %,10278933,0.28 %,5327231061,52
Netherlands,1985,14513949,0.51 %,73107,14305.0,33.1,1.51,430,66.7 %,9683586,0.30 %,4870921740,51
Netherlands,1980,14148415,0.67 %,93025,29161.0,31.3,1.6,420,64.7 %,9160398,0.32 %,4458003514,48
Netherlands,1975,13683291,1.03 %,136270,37349.0,29.4,2.1,406,63.2 %,8645480,0.34 %,4079480606,44
Netherlands,1970,13001943,1.20 %,150720,10927.0,28.6,2.79,386,61.7 %,8017334,0.35 %,3700437046,41
Netherlands,1965,12248344,1.36 %,159905,2318.0,28.5,3.17,363,60.8 %,7441237,0.37 %,3339583597,34
Netherlands,1960,11448817,1.34 %,147837,-4444.0,28.6,3.1,340,59.8 %,6840932,0.38 %,3034949748,35
Netherlands,1955,10709630,1.30 %,133517,-16986.0,28.5,3.05,318,58.0 %,6209436,0.39 %,2773019936,34
New Caledonia,2020,285498,0.97 %,2748,502.0,33.6,1.97,16,71.9 %,205195,0.00 %,7794798739,184
New Caledonia,2019,282750,0.98 %,2757,502.0,32.3,2.14,15,71.3 %,201492,0.00 %,7713468100,184
New Caledonia,2018,279993,1.03 %,2843,502.0,32.3,2.14,15,70.6 %,197787,0.00 %,7631091040,184
New Caledonia,2017,277150,1.08 %,2959,502.0,32.3,2.14,15,70.0 %,194085,0.00 %,7547858925,183
New Caledonia,2016,274191,1.15 %,3126,502.0,32.3,2.14,15,69.4 %,190387,0.00 %,7464022049,184
New Caledonia,2015,271065,1.35 %,3508,601.0,32.0,2.18,15,68.9 %,186694,0.00 %,7379797139,184
New Caledonia,2010,253527,1.41 %,3417,341.0,30.6,2.28,14,66.4 %,168452,0.00 %,6956823603,183
New Caledonia,2005,236442,1.71 %,3835,800.0,28.6,2.32,13,62.9 %,148837,0.00 %,6541907027,183
New Caledonia,2000,217269,2.37 %,4795,1415.0,27.2,2.59,12,60.7 %,131807,0.00 %,6143493823,183
New Caledonia,1995,193293,2.56 %,4591,1266.0,25.3,2.92,11,59.5 %,114988,0.00 %,5744212979,183
New Caledonia,1990,170336,1.78 %,2871,-98.0,23.3,3.12,9,59.4 %,101154,0.00 %,5327231061,183
New Caledonia,1985,155982,1.45 %,2168,-658.0,22.2,3.34,9,58.8 %,91770,0.00 %,4870921740,184
New Caledonia,1980,145144,2.19 %,2976,6.0,21.5,3.91,8,57.4 %,83351,0.00 %,4458003514,184
New Caledonia,1975,130264,4.34 %,4988,1638.0,21.3,5.2,7,55.2 %,71861,0.00 %,4079480606,184
New Caledonia,1970,105324,2.92 %,2825,281.0,21.5,5.21,6,51.2 %,53960,0.00 %,3700437046,185
New Caledonia,1965,91200,3.16 %,2629,669.0,21.6,5.22,5,44.6 %,40717,0.00 %,3339583597,186
New Caledonia,1960,78056,2.87 %,2062,491.0,22.0,5.22,4,37.4 %,29162,0.00 %,3034949748,187
New Caledonia,1955,67748,0.89 %,585,-692.0,22.4,5.22,4,30.6 %,20732,0.00 %,2773019936,186
New Zealand,2020,4822233,0.82 %,39170,14881.0,38.0,1.9,18,86.9 %,4191405,0.06 %,7794798739,126
New Zealand,2019,4783063,0.84 %,39932,14881.0,37.4,2.01,18,86.8 %,4150968,0.06 %,7713468100,125
New Zealand,2018,4743131,0.87 %,41097,14881.0,37.4,2.01,18,86.7 %,4110190,0.06 %,7631091040,125
New Zealand,2017,4702034,0.92 %,42769,14881.0,37.4,2.01,18,86.5 %,4068924,0.06 %,7547858925,124
New Zealand,2016,4659265,0.97 %,44733,14881.0,37.4,2.01,18,86.4 %,4026967,0.06 %,7464022049,122
New Zealand,2015,4614532,1.09 %,48894,18179.0,37.3,2.04,18,86.3 %,3984212,0.06 %,7379797139,122
New Zealand,2010,4370062,1.11 %,46941,12483.0,36.6,2.14,17,86.2 %,3765257,0.06 %,6956823603,122
New Zealand,2005,4135355,1.39 %,55271,26926.0,35.5,1.95,16,86.3 %,3570490,0.06 %,6541907027,124
New Zealand,2000,3858999,0.98 %,36813,8517.0,34.3,1.95,15,86.0 %,3319552,0.06 %,6143493823,121
New Zealand,1995,3674936,1.58 %,55353,23603.0,32.6,2.07,14,85.6 %,3144004,0.06 %,5744212979,120
New Zealand,1990,3398172,0.78 %,25987,-1884.0,31.1,2.03,13,84.7 %,2879680,0.06 %,5327231061,124
New Zealand,1985,3268236,0.76 %,24323,-582.0,29.5,1.97,12,83.7 %,2734626,0.07 %,4870921740,120
New Zealand,1980,3146619,0.41 %,12797,-14959.0,27.9,2.18,12,83.4 %,2625162,0.07 %,4458003514,119
New Zealand,1975,3082633,1.81 %,52849,15336.0,26.3,2.84,12,82.8 %,2551621,0.08 %,4079480606,114
New Zealand,1970,2818387,1.42 %,38348,-525.0,25.6,3.35,11,81.1 %,2285874,0.08 %,3700437046,111
New Zealand,1965,2626645,2.06 %,50810,10878.0,25.8,3.85,10,78.9 %,2072193,0.08 %,3339583597,112
New Zealand,1960,2372594,2.12 %,47241,7775.0,27.4,4.07,9,76.0 %,1803134,0.08 %,3034949748,110
New Zealand,1955,2136391,2.29 %,45678,12482.0,28.7,3.69,8,73.6 %,1572956,0.08 %,2773019936,112
Nicaragua,2020,6624554,1.21 %,79052,-21272.0,26.5,2.42,55,57.2 %,3786513,0.08 %,7794798739,110
Nicaragua,2019,6545502,1.24 %,80001,-21272.0,25.0,2.52,54,57.0 %,3731933,0.08 %,7713468100,110
Nicaragua,2018,6465501,1.26 %,80655,-21272.0,25.0,2.52,54,56.9 %,3677985,0.08 %,7631091040,110
Nicaragua,2017,6384846,1.28 %,80872,-21272.0,25.0,2.52,53,56.8 %,3624780,0.08 %,7547858925,111
Nicaragua,2016,6303974,1.30 %,80734,-21272.0,25.0,2.52,52,56.7 %,3572493,0.08 %,7464022049,111
Nicaragua,2015,6223240,1.33 %,79835,-27004.0,24.6,2.54,52,56.6 %,3521191,0.08 %,7379797139,111
Nicaragua,2010,5824065,1.38 %,77075,-31002.0,22.9,2.68,48,56.1 %,3265767,0.08 %,6956823603,110
Nicaragua,2005,5438690,1.42 %,73878,-34802.0,21.1,2.91,45,55.3 %,3008904,0.08 %,6541907027,109
Nicaragua,2000,5069302,1.73 %,83423,-29004.0,19.3,3.4,42,54.7 %,2774059,0.08 %,6143493823,110
Nicaragua,1995,4652185,2.20 %,95750,-24008.0,17.9,4.2,39,54.0 %,2510763,0.08 %,5744212979,110
Nicaragua,1990,4173434,2.25 %,87819,-30006.0,16.9,5.0,35,52.7 %,2199710,0.08 %,5327231061,116
Nicaragua,1985,3734341,2.72 %,93764,-22004.0,16.4,5.85,31,51.3 %,1917021,0.08 %,4870921740,114
Nicaragua,1980,3265519,3.07 %,91732,-11606.0,16.4,6.35,27,50.1 %,1634444,0.07 %,4458003514,115
Nicaragua,1975,2806857,3.13 %,80069,-7596.0,16.2,6.75,23,48.7 %,1367562,0.07 %,4079480606,120
Nicaragua,1970,2406513,3.07 %,67626,-3802.0,15.8,6.95,20,46.9 %,1127826,0.07 %,3700437046,121
Nicaragua,1965,2068381,3.13 %,59050,-2804.0,15.4,7.2,17,42.6 %,880894,0.06 %,3339583597,125
Nicaragua,1960,1773129,3.29 %,53005,-2204.0,16.4,7.45,15,39.6 %,702450,0.06 %,3034949748,123
Nicaragua,1955,1508102,3.09 %,42622,-2162.0,17.4,7.2,13,37.4 %,563437,0.05 %,2773019936,125
Niger,2020,24206644,3.84 %,895929,4000.0,15.2,6.95,19,16.5 %,4002638,0.31 %,7794798739,56
Niger,2019,23310715,3.87 %,867893,4000.0,15.0,7.27,18,16.4 %,3828158,0.30 %,7713468100,57
Niger,2018,22442822,3.89 %,840440,4000.0,15.0,7.27,18,16.3 %,3664692,0.29 %,7631091040,57
Niger,2017,21602382,3.91 %,813584,4000.0,15.0,7.27,17,16.3 %,3511445,0.29 %,7547858925,57
Niger,2016,20788798,3.94 %,787135,4000.0,15.0,7.27,16,16.2 %,3367638,0.28 %,7464022049,58
Niger,2015,20001663,3.97 %,707528,3782.0,14.9,7.35,16,16.2 %,3232583,0.27 %,7379797139,58
Niger,2010,16464025,3.86 %,567912,-4000.0,15.0,7.55,13,16.2 %,2664321,0.24 %,6956823603,62
Niger,2005,13624467,3.75 %,458582,-1899.0,15.4,7.65,11,16.2 %,2211934,0.21 %,6541907027,64
Niger,2000,11331557,3.61 %,368254,-1989.0,15.9,7.7,9,16.2 %,1837604,0.18 %,6143493823,68
Niger,1995,9490288,3.41 %,292739,-536.0,16.0,7.75,7,15.8 %,1494849,0.17 %,5744212979,78
Niger,1990,8026591,3.02 %,222119,-15583.0,15.8,7.8,6,15.3 %,1231448,0.15 %,5327231061,82
Niger,1985,6915997,2.92 %,185399,-18589.0,15.7,7.9,5,14.5 %,1005293,0.14 %,4870921740,83
Niger,1980,5989004,2.93 %,160813,-3628.0,16.0,7.75,5,13.4 %,805091,0.13 %,4458003514,85
Niger,1975,5184941,2.83 %,134859,-2753.0,15.7,7.6,4,11.4 %,592068,0.13 %,4079480606,84
Niger,1970,4510644,2.88 %,119305,-2309.0,15.6,7.55,4,8.8 %,396646,0.12 %,3700437046,89
